Label,Count,Bar Length,Length A,Hook B,Hook C,Total Bar Length,Comment
RB1,1,"295""","295""","0""","0""","295""",
RB2,1,"272""","272""","0""","0""","272""",
RB3,1,"296""","296""","0""","0""","296""",
RB4,1,"91""","91""","0""","0""","91""",
RB5,1,"43""","43""","0""","0""","43""",
RB6,1,"21 1/2""","21 1/2""","0""","0""","21 1/2""",
RB7,1,"69""","69""","0""","0""","69""",
RB8,1,"89 1/2""","89 1/2""","0""","0""","89 1/2""",
RB9,1,"295""","295""","0""","0""","295""",
RB10,1,"113 1/2""","113 1/2""","0""","0""","113 1/2""",
RD1,2,"91 3/32""","73""","10""","10""","182 3/16""",
RD2,1,"30 17/32""","24""","0""","7 1/2""","30 17/32""",
RD7,3,"33 1/32""","24""","0""","10""","99 1/8""",
RD3,2,"23 25/32""","14 3/4""","0""","10""","47 19/32""",
RD4,2,"62 3/32""","44""","10""","10""","124 3/16""",
RD5,4,"24 1/32""","15""","0""","10""","96 3/16""",
RD6,2,"82 3/32""","64""","10""","10""","164 3/16""",
RP1,2,"21 1/32""","12""","0""","10""","42 3/32""",
RP2,2,"17 29/32""","12""","0""","6 7/8""","35 27/32""",
RP3,4,"42 19/32""","24 1/2""","10""","10""","170 11/32""",
RP4,3,"19 1/32""","13 3/4""","0""","6 1/4""","57 1/8""",
RP5,5,"22 25/32""","13 3/4""","0""","10""","113 31/32""",
RP6,1,"20 1/32""","14 3/4""","0""","6 1/4""","20 1/32""",
RP7,3,"23 25/32""","14 3/4""","0""","10""","71 3/8""",
RP11,2,"38 19/32""","20 1/2""","10""","10""","77 3/16""",
RP8,2,"61 3/32""","43""","10""","10""","122 3/16""",
RP9,2,"67 3/32""","49""","10""","10""","134 3/16""",
RP10,2,"30 19/32""","12 1/2""","10""","10""","61 3/16""",
RR1,53,"104 1/2""","104 1/2""","0""","0""","5538 1/2""",
RR2,2,"83""","83""","0""","0""","166""",
RR3,9,"72""","72""","0""","0""","648""",
RR4,8,"80 1/2""","80 1/2""","0""","0""","644""",
RR5,2,"92""","92""","0""","0""","184""",
RR6,3,"93""","93""","0""","0""","279""",
RR7,1,"91""","91""","0""","0""","91""",
RT1,2,"115 1/2""","115 1/2""","0""","0""","231""",
RT2,2,"131""","131""","0""","0""","262""",
RT3,6,"46""","46""","0""","0""","276""",
RT4,4,"56""","56""","0""","0""","224""",
RT5,4,"73 3/4""","73 3/4""","0""","0""","295""",
RT6,2,"22""","22""","0""","0""","44""",
RT7,1,"140 27/32""","140 13/16""","0""","0""","140 27/32""",
RT8,2,"141""","141""","0""","0""","282""",
RT9,1,"20""","20""","0""","0""","20""",
RT10,2,"15""","15""","0""","0""","30""",
RT11,2,"117""","117""","0""","0""","234""",
RT12,2,"89 1/2""","89 1/2""","0""","0""","179""",
RT13,2,"139""","139""","0""","0""","278""",
RT14,2,"107""","107""","0""","0""","214""",
RT15,1,"141""","141""","0""","0""","141""",
RT16,1,"20""","20""","0""","0""","20""",
RW1,8,"43 1/32""","34""","0""","10""","344 11/32""",
RW2,6,"114 3/32""","96""","10""","10""","684 17/32""",
RW3,16,"34 17/32""","25 1/2""","0""","10""","552 23/32""",
RW4,2,"91 19/32""","73 1/2""","10""","10""","183 3/16""",
RW5,6,"90 19/32""","72 1/2""","10""","10""","543 17/32""",
RW6,2,"90 3/32""","72""","10""","10""","180 3/16""",
RW7,2,"92 3/32""","74""","10""","10""","184 3/16""",
RW8,2,"91 3/32""","73""","10""","10""","182 3/16""",
Grand total: 212,,,,,,"16511 5/32""",
